,X,Y,応力,Grain_Number
197,70,1,-0.025770959,2
198,71,1,-0.067468255,2
199,72,1,-0.056902321,2
200,73,1,-0.206778867,2
201,74,1,-0.032583079,2
202,75,1,-0.070027466,2
203,76,1,-0.170689834,2
204,77,1,0.018413869,3
205,78,1,0.03895851,3
206,79,1,0.049963378,3
207,80,1,-0.030607583,3
208,81,1,0.017324558,3
209,82,1,-0.014954734,3
210,83,1,-0.074629404,3
211,84,1,-0.075646827,3
212,85,1,-0.146184855,3
213,86,1,0.088219418,3
214,87,1,0,NaN
215,88,1,0.233354771,4
216,89,1,-0.041129093,4
217,90,1,0.042851014,4
218,91,1,0.053935633,4
219,92,1,-0.033428976,4
220,93,1,0.156471743,4
221,94,1,0.005454563,4
222,95,1,-0.023414819,4
223,96,1,0.021805876,4
224,97,1,0.034011648,4
225,98,1,-0.054310083,4
226,99,1,0.025816839,4
227,100,1,0.131124831,4
228,101,1,0.081892485,5
229,102,1,-0.128307373,5
230,103,1,0.136563248,5
231,104,1,0.085187326,5
232,105,1,0.141080048,5
233,106,1,0.01088611,5
234,107,1,0.345807831,5
235,108,1,0.112363859,6
236,109,1,-0.039627676,6
237,110,1,0.105314147,6
238,111,1,0.085489968,6
239,112,1,0.14153939,6
240,113,1,-0.118786762,6
241,114,1,0.035799136,6
242,115,1,-0.035191736,6
243,116,1,0.167896686,6
244,117,1,0.200132141,6
245,118,1,0.05006362,6
246,119,1,0.112513328,6
247,120,1,0.142470419,6
248,121,1,-0.066650998,6
249,122,1,0.109307942,6
250,123,1,0.0615048,6
251,124,1,0.040711559,6
252,125,1,0.139764345,6
253,0,2,0.171420019,0
254,1,2,0.084733571,0
255,2,2,0.24080053,0
256,3,2,0.091636644,0
257,4,2,0.074962208,0
258,5,2,0.055963944,0
259,6,2,0.027638076,0
260,7,2,-0.01260478,0
261,8,2,0.201892321,0
262,9,2,0.11563395,0
263,10,2,0.157544619,0
264,11,2,-0.05885762,0
265,12,2,0.156705324,0
266,13,2,0.087352169,0
267,14,2,0.178455261,0
268,15,2,0.171625635,0
269,16,2,0.125250659,0
270,17,2,0.117150777,0
271,18,2,0.219270789,0
272,19,2,0.009295938,0
273,20,2,0.220629195,0
274,21,2,0.178699391,0
275,22,2,0.162771161,0
276,23,2,0.071475542,0
277,24,2,0.197602264,0
278,25,2,0.076122986,0
279,26,2,0.033210374,0
280,27,2,0.227123437,0
281,28,2,0.07893559,0
282,29,2,0.13284083,0
283,30,2,0.331787007,0
284,31,2,0.118006661,7
285,32,2,0.021880057,1
286,33,2,0.164737775,1
287,34,2,0.149672437,1
288,35,2,0.184739422,1
289,36,2,0.050054288,1
290,37,2,0.084654728,1
291,38,2,-0.059904721,1
292,39,2,-0.034854103,1
293,40,2,0.02850944,1
294,41,2,0.069867312,1
295,42,2,0.115712126,1
296,43,2,0.100721766,1
297,44,2,7.31E-05,1
298,45,2,0.02389935,1
299,46,2,0.052668621,1
300,47,2,0.005469873,1
301,48,2,0.022428862,1
302,49,2,-0.011222058,1
303,50,2,-0.063494657,1
304,51,2,0.083014944,1
305,52,2,0.030853331,1
306,53,2,-0.079137465,1
307,54,2,0.105155314,1
308,55,2,-0.128930348,1
309,56,2,0.108776379,1
310,57,2,0.142342109,1
311,58,2,0.193328373,1
312,59,2,0,NaN
313,60,2,0.081776451,2
314,61,2,0.030226855,2
315,62,2,-0.074061887,2
316,63,2,-0.122700067,2
317,64,2,-0.080574757,2
318,65,2,-0.131820475,2
319,66,2,0.0621203,2
320,67,2,-0.086115722,2
321,68,2,-0.011623383,2
322,69,2,-0.120940282,2
323,70,2,-0.03777066,2
324,71,2,-0.157673578,2
325,72,2,-0.051808401,2
326,73,2,-0.243377145,2
327,74,2,0.080246495,3
328,75,2,0.00223461,3
329,76,2,0.071803862,3
330,77,2,0.049554394,3
331,78,2,0.143288995,3
332,79,2,-0.011808701,3
333,80,2,-0.022393155,3
334,81,2,-0.045176558,3
335,82,2,-0.096499923,3
336,83,2,-0.097383749,3
337,84,2,-0.011412072,3
338,85,2,0.033159143,3
339,86,2,-0.055823718,3
340,87,2,0.009140963,3
341,88,2,0.306842787,4
342,89,2,-0.215772508,4
343,90,2,0.038653704,4
344,91,2,0.017881098,4
345,92,2,0.014591714,4
346,93,2,0.062056724,4
347,94,2,0.093497229,4
348,95,2,0.087813827,4
349,96,2,0.175723625,4
350,97,2,0.085990521,4
351,98,2,-0.096863093,4
352,99,2,0.091634649,4
353,100,2,0.091095201,4
354,101,2,0.06780926,5
355,102,2,-0.133730831,5
356,103,2,0,5
357,104,2,0.001449141,5
358,105,2,-0.103718436,5
359,106,2,0.007699234,5
360,107,2,0.274545139,5
361,108,2,0.062695225,6
362,109,2,0.042241932,6
363,110,2,0.122439192,6
364,111,2,-0.213431806,6
365,112,2,-0.028687136,6
366,113,2,0.025863396,6
367,114,2,0.068546682,6
368,115,2,-0.022862438,6
369,116,2,-0.039729191,6
370,117,2,0.080767106,6
371,118,2,0.125230228,6
372,119,2,-0.089417865,6
373,120,2,0.030191435,6
374,121,2,-0.045280773,6
375,122,2,-0.034773442,6
376,123,2,-0.073877679,6
377,124,2,0.086640489,6
378,125,2,0.112903528,6
379,0,3,0.204974161,0
380,1,3,0.073403412,0
381,2,3,-0.020648262,0
382,3,3,0.062357669,0
383,4,3,0.197539143,0
384,5,3,0.123451353,0
385,6,3,0.270884263,0
386,7,3,0.108486238,0
387,8,3,0.055915395,0
388,9,3,0.080456219,0
389,10,3,0.122987346,0
390,11,3,0.123339643,0
391,12,3,0.194734045,0
392,13,3,-0.031622852,0
393,14,3,0.031507436,0
394,15,3,0.082298373,0
395,16,3,0.192931645,0
396,17,3,0.218547082,0
397,18,3,0.187859283,0
398,19,3,0.055671268,0
399,20,3,0.080913521,0
400,21,3,0.208022923,0
401,22,3,0,0
402,23,3,0.057932813,0
403,24,3,0.028221499,0
404,25,3,0.150159594,0
405,26,3,0.007567483,0
406,27,3,0.185146558,0
407,28,3,-0.033493087,0
408,29,3,-0.105590556,7
409,30,3,0.069643745,7
410,31,3,0.158685107,7
411,32,3,0.123142034,1
412,33,3,0.110570387,1
413,34,3,0.091546981,1
414,35,3,0.149290632,1
415,36,3,0.062335294,1
416,37,3,0.133916342,1
417,38,3,0.007755157,1
418,39,3,0.001218269,1
419,40,3,0.105046087,1
420,41,3,-0.109681715,1
421,42,3,0.096654084,1
422,43,3,-0.067626091,1
423,44,3,0.114459442,1
424,45,3,0.0797796,1
425,46,3,0.161785318,1
426,47,3,0.186236766,1
427,48,3,-0.012491463,1
428,49,3,0.036561901,1
429,50,3,0.043137988,1
430,51,3,-0.043548196,1
431,52,3,-0.009043934,1
432,53,3,0.120198881,1
433,54,3,0.080094177,1
434,55,3,0.091467627,1
435,56,3,0.185154109,1
436,57,3,0.059593535,1
437,58,3,0.08123699,1
438,59,3,0.113032255,1
439,60,3,0.060341356,2
440,61,3,-0.025234733,2
441,62,3,-0.039758972,2
442,63,3,-0.118486925,2
443,64,3,-0.23187615,2
444,65,3,0.008132745,2
445,66,3,-0.175579496,2
446,67,3,-0.151243351,2
447,68,3,-0.047909718,2
448,69,3,-0.105920338,2
449,70,3,-0.152712036,2
450,71,3,0.100223148,3
451,72,3,0.018216266,3
452,73,3,-0.0995117,3
453,74,3,0.051466511,3
454,75,3,-0.019214355,3
455,76,3,0.050285488,3
456,77,3,-0.172302909,3
457,78,3,0.15783285,3
458,79,3,-0.003568725,3
459,80,3,0.018108158,3
460,81,3,-0.165748974,3
461,82,3,-0.13636966,3
462,83,3,0.014682298,3
463,84,3,0.098979396,3
464,85,3,-0.004926676,3
465,86,3,0.001369716,3
466,87,3,-0.01169283,3
467,88,3,-0.232115815,3
468,89,3,0.006029434,4
469,90,3,0.081427661,4
470,91,3,0.067721245,4
471,92,3,0.075220467,4
472,93,3,-0.052696253,4
473,94,3,0.132368597,4
474,95,3,0.076972668,4
475,96,3,0.0103191,4
476,97,3,0.101499894,4
477,98,3,-0.094088781,4
478,99,3,-0.018204296,4
479,100,3,0.187244678,4
480,101,3,0.027712724,5
481,102,3,0.012059565,5
482,103,3,0.102461152,5
483,104,3,-0.001001258,5
484,105,3,0.100307418,5
485,106,3,0.017485999,5
486,107,3,0.32509136,5
487,108,3,0.16983223,6
488,109,3,0.145768978,6
489,110,3,-0.000973289,6
490,111,3,0.059093231,6
491,112,3,-0.258954205,6
492,113,3,0.248182615,6
493,114,3,-0.058601949,6
494,115,3,-0.034362383,6
495,116,3,-0.034219586,6
496,117,3,-0.00635573,6
497,118,3,0.017777073,6
498,119,3,0.12186548,6
499,120,3,0.040444879,6
500,121,3,0.121230775,6
501,122,3,0.000133191,6
502,123,3,0.120151152,6
503,124,3,0.060381747,6
504,125,3,0.159155741,6
505,0,4,0.071682641,0
506,1,4,-0.052505889,0
507,2,4,0.209829378,0
508,3,4,0.000694862,0
509,4,4,0.009181822,0
510,5,4,-0.014077088,0
511,6,4,0.206909061,0
512,7,4,-0.05944145,0
513,8,4,0.129877034,0
514,9,4,0.0988769,0
515,10,4,0.08870508,0
516,11,4,0.094893078,0
517,12,4,0.165220469,0
518,13,4,0.167046685,0
519,14,4,0.057866841,0
520,15,4,0.168409728,0
521,16,4,0.106045964,0
522,17,4,0.113307079,0
523,18,4,0.21780519,0
524,19,4,0.080402662,0
525,20,4,0.091382638,0
526,21,4,0.161209398,0
527,22,4,0.245102923,0
528,23,4,0.18209683,0
529,24,4,0.142035189,0
530,25,4,0.216547438,0
531,26,4,0.536933484,0
532,27,4,-0.055671233,7
533,28,4,-0.149170639,7
534,29,4,0.143281934,7
535,30,4,0.073832165,7
536,31,4,0.089187737,7
537,32,4,0.283898315,1
538,33,4,0.123243528,1
539,34,4,0.1696411,1
540,35,4,0.117372506,1
541,36,4,0.066254239,1
542,37,4,0.097727028,1
543,38,4,0.107187997,1
544,39,4,0.113925185,1
545,40,4,-0.00031505,1
546,41,4,0.054757107,1
547,42,4,0.143241291,1
548,43,4,0.123681216,1
549,44,4,0.020290958,1
550,45,4,-0.053654197,1
551,46,4,0.168299104,1
552,47,4,0.188371979,1
553,48,4,-0.054600687,1
554,49,4,-0.137244312,1
555,50,4,0.059940757,1
556,51,4,-0.001762596,1
557,52,4,0.003797523,1
558,53,4,0.127678425,1
559,54,4,0.110431096,1
560,55,4,0.107945878,1
561,56,4,0.070366125,1
562,57,4,0.09226756,1
563,58,4,0.097529273,1
564,59,4,0.076232823,1
565,60,4,0.289592707,1
566,61,4,0.057781288,2
567,62,4,0.056052188,2
568,63,4,-0.274603921,2
569,64,4,-0.24842581,2
570,65,4,-0.051461974,2
571,66,4,-0.18309746,2
572,67,4,-0.093804363,2
573,68,4,-0.408350981,2
574,69,4,0.063418909,3
575,70,4,0.058241755,3
576,71,4,0.128429386,3
577,72,4,0.003041629,3
578,73,4,0.005704279,3
